	aneu	text	label	insulte	grau	rol	tipus	insults
270	tweet48_1235509220029710338	@IreneMontero Vaja una estupidesa, mai vestir o beure ha justificat o atenuat res d'això ms all dels bojos i delinqüents i alguns inquisidors que els necessiten per a cridar al gnero masculí en general 'assassí'	NOVIOLENTO	NO				[]
2616	tweet45_1235202448903598080	@laSextaTV La veritat dol  i molt. La secta existeix gràcies a la izmierda rància de potemos. Jajajaja	VIOLENT	SI	MODERAT	EXECUTOR	POLITICA	['izmierda', 'rància', 'potemos']
1868	tweet20_1234887601783484418	@laSextaTV Seores és que té tota la razn.	NOVIOLENTO	NO				[]
420	tweet61_1234931286768267265	@laSextaTV Alvarez de Toledo es manté sincera. Avui és rar....	NOVIOLENTO	NO				[]
1763	tweet73_1235374670582595584	@IreneMontero Avui una altra amiga del teu grup d'infància lliure ha segrestat els seus fills .	NOVIOLENTO	NO				[]
1479	tweet50_1234947045473079302	@laSextaTV Vostès crticais diàriament, es diu llibertat d'expresin.	NOVIOLENTO	NO				[]
1695	tweet79_1234880414243807237	@laSextaTV Per qu s'anava a retractar? Va dir alguna mentida?	NOVIOLENTO	NO				[]
1894	tweet58_1235179502139068417	@laSextaTV Té razn de qu es retractarà?	NOVIOLENTO	NO				[]
1879	tweet35_1234976232669773826	@laSextaTV @cayetanaAT Bravo Cayetana!!!, em sembla perfecte, soys pur fem, arribant quasi al nivell de TV3	VIOLENT	SI	MODERAT	EXECUTOR	ALTRE	['soys pur fem']
401	tweet36_1235242698531106816	@IreneMontero Qu nivell Maribel! Que un ministeri, que ha de representar-nos a tots mos espaoles est en mans de semblant illetrada fa molta pena	VIOLENT	SI	MODERAT	EXECUTOR	ALTRE	['illetrada', 'fa molta pena']
1126	tweet99_1591811585844334592	@agarzon Avui habis eixit el podemonguers a criticar i fer campaa contra Ayuso, a vosaltres la sanitat pblica us la porta al fresc, as q a comptar mentides a la teua puta casa, Per qu no us manifestis a Barcelona o Aragn? q est pitjor an la sanitat pblica, puta mentider, sou .	VIOLENT	SI	MODERAT	EXECUTOR	ALTRE	['podemonguers', 'a la teua puta casa', 'puta mentider']
2685	tweet58_1235101210878730240	@laSextaTV De debò que, als de la Secta, us sembla errneo que se us considere un mitjà propagandstico en comptes de comunicatiu? Llavors sou ms limitats del que parecis...	VIOLENT	SI	MODERAT	EXECUTOR	ALTRE	['sou ms limitats del que parecis...']
1830	tweet67_991218086467555328	Qualsevol es diu a s mateixa terapeuta o coach  #ridcula	VIOLENT	SI	MODERAT	EXECUTOR	ALTRE	['ridcula']
2752	tweet64_1234900398332399622	"@laSextaTV I as ens sentim. És cert que eres un mquina i saps usar a la gent, però ens enseasteis a reciclar i l'embolcall tambin el tirem, periodista de la Salada. Per no anomenar-te ""Fill de Puta"" directament, que és del que fan venir ganes."	VIOLENT	SI	MODERAT	EXECUTOR	ALTRE	"['""Fill de Puta""']"
1349	tweet77_1591879602670034945	"Ayuso t'encerr a casa, t'oblig a portar morrió, oblig als teus fills 2 cursos, organiz un circ en IFEMA i un altre en la ""pista de gel"" per a vendre el ""relat oficial"". Els que avui es manifestaven contra ella, no van dir ni mu abans de res això.  Igual de fills de puta uns i altres"	VIOLENT	SI	MODERAT	EXECUTOR	ALTRE	['fills de puta']
1461	tweet16_1234917954153828354	@laSextaTV Tots deberamos actuar amb el valor i el coratge de Cayetana.	NOVIOLENTO	NO				[]
2455	tweet5_1234842471940657152	@laSextaTV @cayetanaAT @cayetanaAT, la derechita covarda ni si vulga et defensa. Alguns com @FeijooGalicia t'ataquen.  Els nicos que t'han defensat són @vox_és. Si diràs el que penses sense complexos, el covard PP no és el teu partit. Ests a temps de canviar.	VIOLENT	SI	MODERAT	EXECUTOR	POLITICA	['derechita', 'covard']
2140	tweet15_1234912403235708929	@laSextaTV Ol Cayetana https://t.co/rm4r8j2n1k	NOVIOLENTO	NO				[]
1278	tweet2_1591230206169473024	@paisjodido @anluma99 En què quedem, eres d'Ayuso i et fa fàstic el PP.  O et paga l'equip d'Ayuso, i tambin el PP.  Te l'emportes mort x2. ??  et cau el discurs compaero	NOVIOLENTO	SI				['Te l'emportes mort']
328	tweet39_1592204659720335360	@victorgdlv No li lleve ni una coma. Ha dit tota la puta veritat del que és l'esquerra actual en menys de 5 minuts. Per això us fot tant Ayuso, per les seues veritats i perquè no sou capaces de callar-la... Ni el seris.	NOVIOLENTO	SI				['la puta veritat']
700	tweet32_1234977073938067456	@laSextaTV El nico bo de la vostra tele comunista és el darrere de la dona del simi	VIOLENT	SI	MODERAT	EXECUTOR	ALTRE	['darrere de la dona', 'simi']
600	tweet86_1591241416076058624	El millor del meu mes sens dubte ha sigut el perreo d'Anitta a l'Ayuso jajajaja. Qu puta joia! https://t.co/5xluzqddhr	NOVIOLENTO	SI				['puta joia']
135	tweet34_1235701094535307266	@IreneMontero Federico et diu l'erudita i l'analfabeta. Jo et veig mes amb la segona definicin.	VIOLENT	SI	MODERAT	EXECUTOR	ALTRE	['analfabeta']
2786	tweet18_1235211481974812679	@laSextaTV Totalment a favor seu. Todava em recorde de quan fusteis a cercar als votants de VOX a les portes de la seua casa. No he vist el mateix amb els nacionalistes o amb la resta.   100% Cayetana.	NOVIOLENTO	NO				[]
2303	tweet1_1592225406547288065	@SergioPerezben1 @aterra2s I els quasi 8000 ancians en l comunitat de madrid tambin els mate el PSOE o la puta boja d'ayuso . Els de les cunetes tambin els mat l'esquerra no ? i tampoc negoci el pp amb ETA en amb Aznar i quan todava estava calenta el cos de ngel blanc . Doneu ascazo	VIOLENT	SI	GREU	EXECUTOR	ALTRE	['els mate el', 'la puta boja', 'els mat', 'Doneu ascazo']
1265	tweet85_1591862684299005952	Sigues del signe que sigues , que mala defensa té això d'Ayuso , i sent as , deixa de dir bajanades ,excuses justificant l'indefensable solo cllate la puta boca i aguanta el chaparrn . Hooligan de pacotilla !	VIOLENT	SI	MODERAT	EXECUTOR	ALTRE	['cllate la puta boca', 'de pacotilla']
1134	tweet12_1234844255937605632	@laSextaTV Molt nimo a @cayetanaAT, mancada le har amb semblants sinvergezas com sota n @laSextaTV i  @DebatAlRojoVivo	VIOLENT	SI	MODERAT	EXECUTOR	POLITICA	['sinvergezas']
232	tweet85_1235311308188377092	@IreneMontero I amb aquest MASCLISTA que es defineix as mateix com psicpata que fem???.  https://t.co/ts4exuoq0s	VIOLENT	SI	MODERAT	EXECUTOR	ALTRE	['MASCLISTA', 'psicpata']
1354	tweet82_1592851422693163013	@Monica_Garcia_G Das entre pena i fàstic jajajaja de debò que el millor que li va poder passeu a Ayuso és que t sigues lider de l'oposicin. Si tant et preocupa la sanitat posa't a treballar com mdico i deixa de fer l ridiculo	VIOLENT	SI	MODERAT	EXECUTOR	ALTRE	['Das entre pena i fàstic', 'deixa de fer l ridiculo']
2726	tweet23_1234926847122706435	@laSextaTV Cmo es retractarà? Vosaltres llevis escracheando mediticamente a polticos i dems actors de la vida pblica per a fer-los callar o fer-los engolir amb el vostre ideari neocomunista. Cada vegada sern ms els qui planten cara al vostre ideari neocomunista desvastador i vil	VIOLENT	SI	MODERAT	EXECUTOR	ALTRE	['ideari neocomunista desvastador i vil']
1233	tweet52_1590884096565465090	@josevico4 El millor és que no deixen parlar a Ayuso...que fàstic de democràcia on va un poltico i diu alguna cosa que no t'agrada no?	VIOLENT	SI	MODERAT	PASSIU	ALTRE	['fàstic']
2787	tweet19_1235566706593894407	@IreneMontero Es pot ser ms incompetent??	VIOLENT	SI	MODERAT	EXECUTOR	POLITICA	['incompetent']
1136	tweet14_1235520200616873984	@IreneMontero la ni-nistra d'igual-d protagonitza la revolucin unicorn: https://t.co/uzbxanqjwo	VIOLENT	SI	MODERAT	EXECUTOR	POLITICA	['ni-nistra']
1765	tweet75_1235864654879977473	@laSextaTV @cayetanaAT As és. El PP no té els arrestos que cal tenir per a defensar a la seora lvarez de Toledo.	NOVIOLENTO	NO				[]
298	tweet1_1591762894374727680	@Listuja @AntonioMaestre Jajajajajajajaja, però mira que eres tont@ @Listuja  Fins a l'apuntador sap que el teu estimat partit de la gavina corrupta ha rebentado la sanitat en tot el pais, però la pu#@ boja d'Ayuso li ha calat foc a la de Madrid. Feu puto fàstic.	VIOLENT	SI	MODERAT	EXECUTOR	ALTRE	['eres tont@', 'ha rebentado', 'la pu#@ boja', 'Feu puto fàstic']
1173	tweet81_990141065368952833	"Que algú m'explique x favor aquest Cdigo Penal aquest CGPJ aquest Govern i anteriors i l@s Ministr@s de #Justícia.Aquesta merda qu és? Qu presa aquesta gent ""Fachardn   complex""  per a dictar sentències? Fa molt #fàstic després et cagues en la #puta #Espaa i et linxen.ATPCulo ja!"	VIOLENT	SI	MODERAT	EXECUTOR	POLITICA	['Fa molt #fàstic', 'puta', 'linxen', 'ATPCulo ja']
1648	tweet14_1235486441322328065	@laSextaTV  S'ha retractat ja Ferreras pel terrorista suïcida ple de calçotets del 11- M ?? Perquè, temps ha tingut,  ja van per a 16 aos.	NOVIOLENTO	NO				[]
1366	tweet95_1593573873278222336	És que ayuso t'enxampe i t'agarr dels 4 pèls aqueixos i et rebente el crneo contra una vorada FILLA DE PUTA	VIOLENT	SI	GREU	EXECUTOR	ALTRE	['t'enxampe i', 't'agarr', 'et rebente el crneo contra una vorada', 'FILLA DE PUTA']
579	tweet59_1591326154228916225	@Asturika1 Ara arribar a un mitjà de comunicacin d'aquests que tenen la mateixa poca vergenza que l'i dóna veu a les seues pallassades o les de la cnica i boja d'Ayuso i els seus votants que a aquesta altura no tenen molta ms categora que el perquè el mateix, un fàstic de gent	VIOLENT	SI	MODERAT	EXECUTOR	ALTRE	['cnica', 'boja', 'un fàstic']
477	tweet40_1592447545112154113	@HoyPorHoy @EduMadina @jlayllon @VictorLapuente La infame indecència que desprenen els informatius de @Hora14 i @La_SER amb les impresentables cuas del PP del narcoyate Feijoo  i la descerebrada  Ayuso repetint una vegada i una altra les seues memeces és una falta de respecte a l'audiència i diu molt dels seus impresentables dueos.Fàstic	VIOLENT	SI	MODERAT	EXECUTOR	ALTRE	['la descerebrada', 'Fàstic']
377	tweet95_1592105229872689153	@AnabelAlonso_of Critica que hi ha moltes ciutats que la sanitat fa fàstic i n és culpa d'ayuso sinó del teu estat de rojuchos que són els que donen els diners tros de burraca! Aqui en valència són dels teus i la sanitat va pitjor perquè n hablis d'aquests? Això n interessa no???	VIOLENT	SI	MODERAT	EXECUTOR	ALTRE	['burraca']
1825	tweet62_1234898749266284544	@laSextaTV Aquesta ta té cara de malaleche	NOVIOLENTO	NO				[]
1787	tweet3_1234950910842998790	@laSextaTV I ben suau és. Si dijramos el que pensem de vosaltres, mercenaris...	NOVIOLENTO	NO				[]
1312	tweet39_1591873412158615553	AQUESTS SÓN UN FÀSTIC. COM L'AYUSO. https://t.co/ddawmfavgx	VIOLENT	SI	MODERAT	EXECUTOR	ALTRE	['SÓN UN FÀSTIC']
465	tweet26_1592136080064937985	@aperezboix Jo he usat la socialista andalusa quan era!!!  I en una setmana, festiva en la region, l'atencin va ser excepcional i em van dir diverses vegades per si em trobava bé o malament... A Madrid, amb Ayuso i amb CANCER i COVID19 ni una puta anomenada... No s que dir!!! Però...	NOVIOLENTO	SI				['puta anomenada']
669	tweet86_1235241566056435712	"@IreneMontero Quan cuidem que la xica arribe a casa ""sola i borratxa"" el següent pas preguntar-se perquè una xica o xic arriba a casa sol i borratxo? Tal vegada aquests xics necessiten una ajuda en valors en bsqueda de la identitat que li faça no anar ""solos i borratxos"""	NOVIOLENTO	NO				[]
899	tweet31_1591865257101762560	L'excusa perfecta per a tirar a Ayuso ara és la #Sanitat Anteriorment va ser que benefici al seu germà.  Estn tan desesperats que ja no saben que fer,la poltica fa fàstic	VIOLENT	SI	MODERAT	PASSIU	ALTRE	['fa fàstic']
1573	tweet7_1235177638416744450	@laSextaTV Puc dir q vostès van mentir i van fer un vestit a mida a l'ONCE per a anar contra una Org d Discapacitats q té ms de 150 sentències a favor i contra l'ONCE, però vostès previ pague d l'ONCE suposadament de 6 milions d euros en publicitat, van fer veure el contrari.	NOVIOLENTO	NO				[]
890	tweet20_1592067918678097921	"@RosaVillacastin L'eslògan de la manifestacin  era ""AYUSO  PUTA"" ? molt fi Rosa,et recordem per Torreciudad!"	VIOLENT	SI	MODERAT	INFORMATIU	POLITICA	"['""AYUSO  PUTA"" ?']"
2285	tweet73_1235093930347245568	"@laSextaTV Querris dir ""la Secta"" no? Bravo per Cayetana!!!!"	VIOLENT	SI	MODERAT	EXECUTOR	ALTRE	"['""la Secta""']"
1590	tweet31_1235270762845655043	@IreneMontero Irene, us habis equivocat amb el lema. No passa res. Rectifica per favor. Ningn/a pare/mare est tranquil si el seu hij@ arriba borrach@ a casa perquè adems d'assetjadors poden patir un contratemps i no ser conscients d'això. Alcohol s, però amb moderacin	NOVIOLENTO	NO				[]
2573	tweet84_1234950949938044933	@laSextaTV La Secta...TV i té tota la razn est dona. Sou un mitjà populista que alguns de vuetros programes fan vertader fàstic.	VIOLENT	SI	MODERAT	EXECUTOR	ALTRE	['La Secta', 'fan vertader fàstic']
1598	tweet48_1235457695559319552	@IreneMontero Sola i borratxa vull arribar al treball, quedara fatal veritat?, no m'imagine tenir una mare as. Preferisc que vinga amb el meu pare o parella i sòbria. Però en fi, respecte que t'agrade en excés l'alcohol i la soledat, encara que després ens coste diners el tractament.	VIOLENTE	NO	MODERAT	EXECUTOR	ALTRE	['que t'agrade en excés l'alcohol']
2537	tweet22_1234940789643501569	@laSextaTV Però perquè us hacis els ofesos, teneis el que us mereceis, per mentir i estar a les ordenes de la izmierda d'aquest pais	VIOLENT	SI	MODERAT	EXECUTOR	POLITICA	['teneis el que us mereceis', 'mentir', 'izmierda']
1633	tweet95_1235158755391803392	@laSextaTV ESTEM AMB CAYETANA!!	NOVIOLENTO	NO				[]
1179	tweet89_1235220816805138440	@IreneMontero Que xafogor de Ministra d'igual-dóna. Que xafogor.	VIOLENT	SI	MODERAT	EXECUTOR	POLITICA	['Que xafogor']
337	tweet48_1592535216249528321	@telecincoes Que li ho explique a la de  la seua cap queda ascola ta com defensa a la inepta trumpista i pallassa d'Ayuso .	VIOLENT	SI	MODERAT	EXECUTOR	ALTRE	['inepta', 'pallassa']
1574	tweet9_1234851146667302913	@laSextaTV @cayetanaAT L'el problema és la tebiesa absoluta dels dems dirigents del @populars; quizs hages de plantejar-te altres opcions polticas muchsimo millors sens dubte.	NOVIOLENTO	NO				[]
2009	tweet14_989568575223619584	Sindicats  estis fent el #ridiculo traidors @ufpol @Sup_Policia @cep_cepolicia @AUGC_Comunica @UnionGC @SPPnacional @ASP_CNP #MarchaporlaEquiparacionYa sou artfices de la #falsaequiparacin , que us han donat per a vendre-us? Venuts ! Ni les engrunes que vau signar!	VIOLENT	SI	MODERAT	EXECUTOR	ALTRE	['estis fent el #ridiculo', 'traidors']
2066	tweet94_1234976983408205824	@laSextaTV @cayetanaAT Qu bo que no es retracte.	NOVIOLENTO	NO				[]
2695	tweet76_1235835045446692864	@laSextaTV Cada vegada em cau millor aquesta dona	NOVIOLENTO	NO				[]
2593	tweet9_1234930906990772225	@laSextaTV Fa bé. Diu la veritat.	NOVIOLENTO	NO				[]
1356	tweet84_1591559764625989632	@laSextaXplica La que porta tota la nit cridant a Ayuso amb cara de fàstic la TACHER  diu que El No A la Guerra de maana no est polititzat. Jajajaja jajajaja jajajaja jajajaja jajajaja	VIOLENT	SI	MODERAT	EXECUTOR	ALTRE	['amb cara de fàstic']
2240	tweet97_1234956788497309703	@laSextaTV Sou la sextapo, comissaris politicos	VIOLENT	SI	MODERAT	EXECUTOR	POLITICA	['sextapo']
1466	tweet29_1235508907507879936	@IreneMontero LA DIFERÈNCIA ENTRE ABÚS I AGRESIN AQUESTA PERQUÈ HAJA MENYS VIOLACIONS Al SABER QUE ET CAUEN MS PENES PER FER UN ABÚS QUE UNISCA AGRESIN SOTA INTIL, SI PER FER QUALSEVOL DE LES DUES ET CAU LA MATEIXA PENA Als VIOLADORS ELS SERÀ IGUAL FER EL MS GREU,TROS PEDRA.	VIOLENT	SI	MODERAT	EXECUTOR	POLITICA	['SOTA INTIL', 'TROS PEDRA.']
1593	tweet39_1234903929655373825	@laSextaTV Absolutament cert	NOVIOLENTO	NO				[]
2646	tweet97_1235137301241618432	@laSextaTV La veritat dol. Quan porta razn. Miren les seues audiències, pot ser que traguen alguna cosa en clar. I no tots som fatxes.	NOVIOLENTO	NO				[]
550	tweet24_1592080521869524992	@Juanma_Cabrera @todoatreseuros @ppmadrid Jajasjjajaja vaja nivell que tenen els del PP. Si vols Almodovar que pot pagar-lo, es va anar a la pblica que és una puta merda. Si tots pudiramos ara mateix ens iramos a la privada, perquè millor pagar que morir, com els avis de les residències. Ayuso DIMISIN	VIOLENT	SI	MODERAT	EXECUTOR	ALTRE	['una puta merda']
2510	tweet86_1234909227573006337	@laSextaTV Cmo s'atreveix dir això d'un mitjà de comunicacin veraç i imparcial com el vostre..  Per cert.. Vau trobar als 44 de Vox en Marinaleda?	NOVIOLENTO	NO				[]
676	tweet0_1234926735596060672	@laSextaTV Ha dit el que molts pensem.	NOVIOLENTO	NO				[]
470	tweet33_1591890445764026368	@SentiSerra Li la tira en les urnes, espere que això d'avui es reflectisca en elles, perquè si Ayuso est desmantellant la sanitat pblica és perquè la gent  vot caas i cerveses. As de trist. Fàstic	NOVIOLENTO	SI				['Fàstic']
488	tweet53_1591501009410748417	@rosadiezglez No com Ayuso que est preocupadsima per la sanitat i la gent, per això dej morir slos i sense atendre els ancians en les residències  Feu molt fàstic	VIOLENT	SI	GREU	EXECUTOR	ALTRE	['dej morir', 'Feu molt fàstic']
811	tweet5_1234883194752786433	@laSextaTV No té res del que retractar-se , diu la veritat com una valenta que és i punt.	NOVIOLENTO	NO				[]
1472	tweet38_1234869482138611712	@laSextaTV Normal, té razn. A la fi algú pblicamente el que molts espaoles pensem.	NOVIOLENTO	NO				[]
160	tweet77_1235149902302322688	@laSextaTV Bravo per lvarez de Toledo!!	NOVIOLENTO	NO				[]
1583	tweet23_1235342398626189314	@IreneMontero Llevis dos mesos en el govern i no paris de cagar-la, sou lamentables... enseando l'anegueta	VIOLENT	SI	MODERAT	EXECUTOR	POLITICA	['cagar-la', 'sou lamentables']
624	tweet19_1235264599714390018	@laSextaTV @laSextaTV aquesta bloquejada en tots els meus dispositius , és absolutament amoral i farsant.	VIOLENT	SI	MODERAT	EXECUTOR	ALTRE	['amoral', 'farsant']
2463	tweet14_1235207179508031488	@IreneMontero Eres una cnica, no et faces la boja, el teu eslògan incita al consum d'alcohol.	VIOLENT	SI	MODERAT	EXECUTOR	POLITICA	['Eres una cnica']
2189	tweet98_1235257105453658112	@IreneMontero A veure Irene, que soles i borratxes llegaris tranquil·les, però a velles.	NOVIOLENTO	NO				[]
1921	tweet1_1591836153975607296	@JessOjedaCalvo @a_reis_n @IdiazAyuso @sanchezcastejon O del coletas, que fins al conseller d'ayuso el desminti,després si se'ls mor un familiar a un ayuser per falta de personal, que seguisquen amb la seua puta cervecita i tapita, el mort ja no va trobar-se al seu ex.	VIOLENT	SI	MODERAT	EXECUTOR	ALTRE	['amb la seua puta']
2827	tweet74_1235200262668775424	@IreneMontero Compartint el missatge de fons l'eslògan és una estupidesa mal plantejada que no hi ha per on agafar.  D'un Ministeri espere poltica seriosa.  Això no ho és.	NOVIOLENTO	NO				[]
2026	tweet39_1235042469189783552	@laSextaTV @cayetanaAT Es veu que a Goril·les en la Neva i dems mitjans progressistes, els molesta Cayetana...	NOVIOLENTO	NO				[]
354	tweet68_1592434844700901376	Estic sentint a Jos Luis Aylln en la Ser justificant la gestin d'Ayuso en la sanitat i m'est fent fàstic, molt de fàstic. Encara que ngels i Madina le estn rebatent els seus argunentos, l segueix do tretze són tretze, dis-me amb qui andes i et dir com penses, molt de fàstic... https://t.co/hel1h31lzi	VIOLENT	SI	MODERAT	EXECUTOR	ALTRE	['m'est fent fàstic', 'molt de fàstic', 'molt de fàstic']
1899	tweet66_1235208737503277056	@laSextaTV @mfyc1968 I per qu tendra que retractar-se? Lubertad d'expresin ho diuen els d'izquiedas....	NOVIOLENTO	NO				[]
2430	tweet63_1234965965919662086	@laSextaTV Us retractais vosaltres del vostre fem?	VIOLENT	SI	MODERAT	EXECUTOR	ALTRE	['el vostre fem']
2696	tweet77_1234923294794670080	@laSextaTV Totalment d'acord amb Cayetana.	NOVIOLENTO	NO				[]
289	tweet80_1235314832838217728	@IreneMontero No ha sigut ben triat perquè sembla que diguen que la dona ha de beure. Per a divertir-se no fa falta. Est clar que cap agresin té justificacin cap.	NOVIOLENTO	NO				[]
1927	tweet8_1592579135381311489	@Monica_Garcia_G Fotre la sanitat funciona de puta Pena en tota Espaa. Però ull Ayuso és el problema.	VIOLENT	SI	MODERAT	EXECUTOR	ALTRE	['Fotre', 'de puta Pena']
352	tweet66_1591777886679490561	@europapress MENTIDA MENTIDA MENTIDA MENTIDA MENTIDA MENTIDA. VEUEN A VALÈNCIA I VERS COM EST LA SANITAT. ANEU CONTRA AYUSO, PERQUÈ AQUEIXA ÉS LA VOSTRA MANERA DE FER POLTICA. JA FEU FÀSTIC.	VIOLENT	SI	MODERAT	EXECUTOR	ALTRE	['FEU FÀSTIC']
1239	tweet58_1591154282505850880	@Mag71Mag Ayuso..PRESIDENTA..encara que els dolga fills de puta	VIOLENT	SI	MODERAT	EXECUTOR	ALTRE	['encara que els dolga fills de puta']
481	tweet46_1592139658884157442	@SuperRoStar @IdiazAyuso És tot puta poltica per a carregar-se a Ayuso. Tot una falsa dels rojos	NOVIOLENTO	SI				['puta']
296	tweet99_1235523157152296960	@IreneMontero Sola i borratxa... Cmo tens l'hgado i el cervell? Pregunte, jo slo pregunte.	NOVIOLENTO	NO				[]
1140	tweet21_1234960905496092674	@laSextaTV Va dir veritats com puos.	NOVIOLENTO	NO				[]
2093	tweet36_990595684129824768	#AliciaCastro em Block! A miiiiiiiiiiiii, Ahahahajajajajajajajajaajajajajajaj qui essssss!!!!! Una #Puta, bahhhh	VIOLENT	SI	MODERAT	EXECUTOR	ALTRE	['Puta']
744	tweet91_1235477951988281345	@laSextaTV Aqueix braç Cayetana!!!!!!!!	NOVIOLENTO	NO				[]
2326	tweet30_1593062132886929409	@Rita_Maestre Perquè si, acomiadament immediat a tots els que s'han donat de baixa, i convocar noves places. Sobren treballadors mes qualificats i amb ganes de treballar, i a tots aqueixos pollosos al puto carrer, que els mantinga unides no podem amb ayuso.	VIOLENT	SI	MODERAT	EXECUTOR	ALTRE	['pollosos', 'al puto carrer']
1067	tweet28_1592587064305807360	@bea_fanjul Fanjul Vés-te a la puta merda la teua, la NAZI d'AYUSO el ximple de Feijo i el subnormal d'Almeida amb el M.Rajoy de regal https://t.co/txxsswsfjx	VIOLENT	SI	MODERAT	EXECUTOR	ALTRE	['Vés-te a la puta merda', 'la NAZI', 'ximple', 'subnormal']
1846	tweet88_1235080299823808513	@laSextaTV Les veritats ofenen i @laSextaTV és especialista a manipular notícies. Exemple és la foto triada per a il·lustrar la notícia de @cayetanaAT , només cal obrir una mica ms la ment per a veure cmo usant missatges subliminals, manipules a TOTA UNA SOCIETAT. Lindo futur tenim...	VIOLENT	SI	MODERAT	EXECUTOR	ALTRE	['manipular', 'manipules']
